x,y,z
-0.311,0.117,0.965
-0.309,0.118,0.951
-0.309,0.116,0.960
-0.311,0.119,0.965
-0.305,0.123,0.966
-0.306,0.121,0.968
-0.308,0.117,0.958
-0.310,0.117,0.962
-0.311,0.117,0.960
-0.308,0.119,0.966
-0.307,0.114,0.962
-0.309,0.120,0.960
-0.308,0.119,0.955
-0.307,0.114,0.971
-0.309,0.113,0.961
-0.308,0.114,0.965
-0.306,0.116,0.964
-0.310,0.115,0.960
-0.303,0.116,0.966
-0.310,0.113,0.963
-0.304,0.115,0.959
-0.309,0.119,0.967
-0.311,0.118,0.996
-0.326,0.111,1.030
-0.322,0.113,1.037
-0.326,0.112,1.050
-0.326,0.110,1.055
-0.325,0.109,1.049
-0.319,0.114,1.044
-0.320,0.116,1.021
-0.324,0.104,1.045
-0.322,0.107,1.025
-0.322,0.113,1.007
-0.315,0.114,1.011
-0.316,0.100,1.036
-0.315,0.111,1.013
-0.317,0.112,1.023
-0.312,0.108,1.011
-0.320,0.104,1.034
-0.321,0.104,1.038
-0.325,0.114,1.019
-0.319,0.107,1.036
-0.317,0.111,1.034
-0.321,0.108,1.034
-0.317,0.113,1.023
-0.326,0.110,1.026
-0.311,0.108,1.038
-0.322,0.115,1.021
-0.311,0.100,1.030
-0.318,0.107,1.026
-0.313,0.110,1.027
-0.324,0.105,1.028
-0.325,0.114,1.039
-0.323,0.104,1.037
-0.319,0.109,1.030
-0.322,0.112,1.030
-0.314,0.101,1.010
-0.314,0.106,1.008
-0.309,0.107,0.987
-0.307,0.104,0.977
-0.301,0.106,0.967
-0.293,0.107,0.942
-0.296,0.099,0.937
-0.294,0.104,0.944
-0.289,0.107,0.940
-0.299,0.104,0.945
-0.301,0.104,0.951
-0.306,0.099,0.962
-0.304,0.111,0.971
-0.309,0.106,0.977
-0.300,0.109,0.975
-0.309,0.111,0.979
-0.309,0.105,0.978
-0.301,0.104,0.970
-0.300,0.104,0.963
-0.299,0.106,0.961
-0.300,0.108,0.956
-0.301,0.101,0.949
-0.302,0.100,0.947
-0.299,0.097,0.943
-0.300,0.104,0.950
-0.299,0.105,0.958
-0.302,0.107,0.960
-0.308,0.099,0.973
-0.308,0.107,0.972
-0.297,0.112,0.975
-0.304,0.106,0.972
-0.305,0.106,0.968
-0.308,0.100,0.968
-0.294,0.102,0.966
-0.294,0.104,0.960
-0.298,0.101,0.967
-0.297,0.106,0.962
-0.295,0.103,0.958
-0.303,0.103,0.951
-0.298,0.105,0.955
-0.301,0.100,0.956
-0.300,0.107,0.967
-0.308,0.101,0.972
-0.300,0.104,0.968
-0.305,0.109,0.969
-0.306,0.099,0.970
-0.304,0.107,0.962
-0.302,0.104,0.961
-0.302,0.104,0.960
-0.298,0.100,0.957
-0.305,0.102,0.963
-0.297,0.107,0.954
-0.300,0.103,0.957
-0.305,0.104,0.963
-0.298,0.106,0.961
-0.302,0.101,0.971
-0.306,0.104,0.965
-0.304,0.097,0.967
-0.308,0.105,0.970
-0.305,0.109,0.964
-0.303,0.111,0.961
-0.303,0.104,0.964
-0.299,0.107,0.968
-0.299,0.105,0.963
-0.298,0.099,0.962
-0.308,0.103,0.959
-0.299,0.110,0.962
-0.296,0.106,0.954
-0.301,0.103,0.966
-0.300,0.104,0.968
-0.303,0.111,0.963
-0.300,0.104,0.965
-0.306,0.110,0.964
-0.306,0.109,0.968
-0.303,0.110,0.966
-0.298,0.109,0.956
-0.303,0.104,0.962
-0.298,0.102,0.959
-0.303,0.107,0.962
-0.296,0.105,0.973
-0.300,0.109,0.964
-0.299,0.106,0.963
-0.295,0.106,0.958
-0.303,0.107,0.958
-0.307,0.102,0.964
-0.305,0.097,0.952
-0.309,0.101,0.968
-0.299,0.108,0.967
-0.299,0.111,0.963
-0.304,0.101,0.958
-0.300,0.107,0.959
-0.303,0.106,0.973
-0.301,0.104,0.970
-0.300,0.104,0.962
-0.304,0.104,0.967
-0.306,0.099,0.969
-0.306,0.103,0.963
-0.300,0.106,0.969
-0.302,0.106,0.963
-0.305,0.109,0.960
-0.305,0.104,0.962
-0.303,0.105,0.961
-0.310,0.104,0.959
-0.303,0.104,0.955
-0.295,0.104,0.956
-0.302,0.107,0.955
-0.300,0.101,0.962
-0.295,0.107,0.960
-0.299,0.106,0.966
-0.303,0.104,0.957
-0.296,0.103,0.953
-0.304,0.105,0.966
-0.306,0.104,0.964
-0.300,0.104,0.962
-0.300,0.106,0.965
-0.300,0.102,0.963
-0.299,0.104,0.966
-0.302,0.106,0.973
-0.303,0.105,0.960
-0.304,0.104,0.956
-0.302,0.104,0.964
-0.298,0.098,0.965
-0.295,0.104,0.963
-0.298,0.104,0.963
-0.302,0.100,0.957
-0.304,0.104,0.962
-0.306,0.105,0.955
-0.297,0.104,0.967
-0.302,0.108,0.971
-0.299,0.104,0.971
-0.302,0.104,0.966
-0.303,0.104,0.970
-0.299,0.105,0.964
-0.304,0.103,0.972
-0.299,0.104,0.965
-0.296,0.108,0.971
-0.300,0.103,0.964
-0.296,0.104,0.960
-0.298,0.107,0.967
-0.304,0.104,0.962
-0.306,0.106,0.969
-0.301,0.107,0.962
-0.294,0.104,0.967
-0.304,0.104,0.963
-0.297,0.108,0.967
-0.301,0.103,0.958
-0.295,0.106,0.961
-0.301,0.100,0.963
-0.297,0.107,0.966
-0.298,0.103,0.973
-0.300,0.107,0.958
-0.303,0.111,0.966
-0.300,0.101,0.965
-0.299,0.106,0.967
-0.302,0.104,0.971
-0.297,0.103,0.963
-0.301,0.104,0.958
-0.303,0.104,0.961
-0.298,0.104,0.964
-0.292,0.099,0.965
-0.304,0.104,0.967
-0.295,0.104,0.963
-0.302,0.103,0.957
-0.301,0.102,0.960
-0.299,0.106,0.961
-0.297,0.109,0.960
-0.297,0.111,0.967
-0.296,0.099,0.965
-0.299,0.100,0.964
-0.307,0.104,0.966
-0.301,0.109,0.965
-0.298,0.104,0.963
-0.301,0.104,0.957
-0.293,0.099,0.963
-0.299,0.107,0.963
-0.297,0.104,0.967
-0.295,0.105,0.957
-0.300,0.103,0.967
-0.301,0.106,0.959
-0.301,0.103,0.976
-0.305,0.104,0.963
-0.300,0.104,0.968
-0.298,0.104,0.965
-0.300,0.098,0.968
-0.295,0.105,0.961
-0.301,0.101,0.953
-0.302,0.107,0.956
-0.298,0.102,0.961
-0.301,0.107,0.965
-0.297,0.098,0.968
-0.297,0.107,0.962
-0.305,0.098,0.961
-0.300,0.102,0.971
-0.298,0.102,0.960
-0.295,0.104,0.963
-0.303,0.104,0.958
-0.300,0.102,0.960
-0.302,0.105,0.962
-0.297,0.104,0.963
-0.307,0.104,0.957
-0.296,0.102,0.965
-0.303,0.105,0.965
-0.297,0.108,0.968
-0.296,0.104,0.969
-0.298,0.103,0.969
-0.301,0.104,0.970
-0.305,0.104,0.962
-0.297,0.100,0.970
-0.299,0.103,0.968
-0.297,0.104,0.965
-0.298,0.106,0.968
-0.303,0.105,0.960
-0.297,0.103,0.964
-0.301,0.102,0.961
-0.294,0.099,0.968
-0.298,0.105,0.968
-0.300,0.100,0.963
-0.298,0.100,0.961
-0.300,0.108,0.971
-0.300,0.103,0.960
-0.305,0.108,0.965
-0.301,0.100,0.964
-0.298,0.103,0.961
-0.295,0.102,0.956
-0.300,0.099,0.961
-0.296,0.101,0.962
-0.295,0.104,0.960
-0.304,0.106,0.964
-0.296,0.100,0.962
-0.299,0.097,0.956
-0.296,0.099,0.964
-0.296,0.104,0.962
-0.302,0.103,0.967
-0.296,0.104,0.973
-0.299,0.103,0.965
-0.302,0.100,0.963
-0.298,0.102,0.967
-0.298,0.103,0.968
-0.296,0.099,0.965
-0.293,0.104,0.966
-0.297,0.106,0.960
-0.294,0.100,0.968
-0.299,0.102,0.959
-0.295,0.098,0.958
-0.309,0.103,0.960
-0.296,0.106,0.962
-0.300,0.105,0.966
-0.302,0.107,0.968
-0.299,0.102,0.967
-0.294,0.104,0.962
-0.298,0.099,0.961
-0.307,0.099,0.965
-0.285,0.106,0.968
-0.303,0.102,0.959
-0.298,0.113,0.968
-0.302,0.104,0.965
-0.290,0.105,0.963
-0.302,0.104,0.962
-0.298,0.099,0.970
-0.297,0.100,0.960
-0.302,0.102,0.964
-0.299,0.099,0.969
-0.303,0.101,0.965
-0.294,0.109,0.970
-0.302,0.102,0.960
-0.299,0.105,0.968
-0.300,0.099,0.961
-0.300,0.100,0.969
-0.305,0.101,0.965
-0.296,0.101,0.966
-0.296,0.101,0.961
-0.297,0.104,0.972
-0.299,0.106,0.966
-0.298,0.104,0.961
-0.298,0.098,0.967
-0.295,0.106,0.968
-0.301,0.099,0.975
-0.298,0.099,0.974
-0.304,0.104,0.972
-0.305,0.093,0.971
-0.312,0.099,0.956
-0.283,0.098,0.955
-0.291,0.106,0.966
-0.294,0.110,0.960
-0.291,0.104,0.962
-0.293,0.105,0.957
-0.294,0.093,0.960
-0.302,0.101,0.971
-0.295,0.098,0.968
-0.292,0.106,0.969
-0.292,0.104,0.971
-0.296,0.102,0.964
-0.298,0.096,0.962
-0.304,0.097,0.962
-0.303,0.097,0.971
-0.299,0.104,0.967
-0.286,0.105,0.965
-0.298,0.105,0.970
-0.293,0.106,0.964
-0.294,0.096,0.961
-0.298,0.098,0.958
-0.296,0.099,0.957
-0.299,0.109,0.963
-0.299,0.106,0.968
-0.298,0.103,0.973
-0.297,0.100,0.968
-0.304,0.095,0.966
-0.304,0.097,0.960
-0.302,0.103,0.962
-0.284,0.099,0.960
-0.296,0.105,0.964
-0.294,0.104,0.957
-0.298,0.097,0.964
-0.298,0.098,0.961
-0.301,0.097,0.964
-0.297,0.106,0.968
-0.293,0.104,0.965
-0.287,0.097,0.961
-0.295,0.101,0.970
-0.300,0.093,0.961
-0.301,0.096,0.969
-0.301,0.106,0.961
-0.294,0.104,0.955
-0.294,0.098,0.959
-0.288,0.100,0.964
-0.299,0.097,0.963
-0.299,0.102,0.958
-0.302,0.096,0.956
-0.293,0.105,0.957
-0.305,0.104,0.968
-0.307,0.106,0.970
-0.293,0.100,0.967
-0.304,0.099,0.969
-0.296,0.103,0.958
-0.293,0.102,0.968
-0.301,0.093,0.962
-0.299,0.100,0.963
-0.295,0.104,0.962
-0.300,0.101,0.961
-0.295,0.101,0.965
-0.298,0.097,0.961
-0.293,0.096,0.955
-0.301,0.103,0.961
-0.293,0.096,0.969
-0.296,0.106,0.967
-0.297,0.103,0.965
-0.303,0.104,0.974
-0.295,0.106,0.972
-0.297,0.104,0.960
-0.296,0.094,0.965
-0.295,0.100,0.965
-0.296,0.098,0.956
-0.291,0.098,0.961
-0.302,0.104,0.964
-0.299,0.101,0.965
-0.300,0.095,0.961
-0.297,0.104,0.968
-0.298,0.097,0.962
-0.295,0.097,0.963
-0.298,0.102,0.967
-0.297,0.100,0.960
-0.294,0.099,0.971
-0.303,0.097,0.969
-0.295,0.104,0.966
-0.300,0.103,0.959
-0.294,0.103,0.968
-0.298,0.099,0.970
-0.295,0.098,0.959
-0.295,0.095,0.963
