#Station Long Name,Moore River - Quinns Ford
#Station Number,617001
#Station Location Latitude,-30.982356644
#Station Location Longitude,115.818947142
#Parameter Type Name,Water Course Discharge
#Timeseries Name,DMQaQc.Merged.MonthlyMean.CalMonth
#Unit Name,cubic meter per second
#DATA_OWNER_NAME,WA - Department of Water and Environmental Regulation
#Rows,634
#Timestamp,Value,Quality Code,Interpolation Type
1969-05-01T00:00:00.000+08:00,,-1,603
1969-06-01T00:00:00.000+08:00,1.019,10,603
1969-07-01T00:00:00.000+08:00,1.031,10,603
1969-08-01T00:00:00.000+08:00,0.620,10,603
1969-09-01T00:00:00.000+08:00,0.320,10,603
1969-10-01T00:00:00.000+08:00,0.049,10,603
1969-11-01T00:00:00.000+08:00,0.040,10,603
1969-12-01T00:00:00.000+08:00,0.007,10,603
1970-01-01T00:00:00.000+08:00,0.007,10,603
1970-02-01T00:00:00.000+08:00,1.027,10,603
1970-03-01T00:00:00.000+08:00,0.090,10,603
1970-04-01T00:00:00.000+08:00,0.026,10,603
1970-05-01T00:00:00.000+08:00,0.096,10,603
1970-06-01T00:00:00.000+08:00,,-1,603
1970-07-01T00:00:00.000+08:00,4.469,10,603
1970-08-01T00:00:00.000+08:00,2.126,10,603
1970-09-01T00:00:00.000+08:00,0.630,10,603
1970-10-01T00:00:00.000+08:00,0.508,10,603
1970-11-01T00:00:00.000+08:00,0.027,10,603
1970-12-01T00:00:00.000+08:00,0.006,10,603
1971-01-01T00:00:00.000+08:00,0.007,10,603
1971-02-01T00:00:00.000+08:00,0.054,140,603
1971-03-01T00:00:00.000+08:00,1.316,140,603
1971-04-01T00:00:00.000+08:00,2.474,10,603
1971-05-01T00:00:00.000+08:00,0.053,10,603
1971-06-01T00:00:00.000+08:00,0.733,10,603
1971-07-01T00:00:00.000+08:00,,-1,603
1971-08-01T00:00:00.000+08:00,,-1,603
1971-09-01T00:00:00.000+08:00,0.366,10,603
1971-10-01T00:00:00.000+08:00,0.488,10,603
1971-11-01T00:00:00.000+08:00,0.052,10,603
1971-12-01T00:00:00.000+08:00,0.015,10,603
1972-01-01T00:00:00.000+08:00,0.008,10,603
1972-02-01T00:00:00.000+08:00,0.009,10,603
1972-03-01T00:00:00.000+08:00,0.011,10,603
1972-04-01T00:00:00.000+08:00,0.015,10,603
1972-05-01T00:00:00.000+08:00,0.014,10,603
1972-06-01T00:00:00.000+08:00,1.685,10,603
1972-07-01T00:00:00.000+08:00,4.234,10,603
1972-08-01T00:00:00.000+08:00,7.307,10,603
1972-09-01T00:00:00.000+08:00,0.901,10,603
1972-10-01T00:00:00.000+08:00,,-1,603
1972-11-01T00:00:00.000+08:00,0.032,10,603
1972-12-01T00:00:00.000+08:00,0.016,10,603
1973-01-01T00:00:00.000+08:00,0.009,10,603
1973-02-01T00:00:00.000+08:00,0.007,10,603
1973-03-01T00:00:00.000+08:00,0.008,10,603
1973-04-01T00:00:00.000+08:00,,-1,603
1973-05-01T00:00:00.000+08:00,,-1,603
1973-06-01T00:00:00.000+08:00,,-1,603
1973-07-01T00:00:00.000+08:00,5.184,10,603
1973-08-01T00:00:00.000+08:00,7.516,10,603
1973-09-01T00:00:00.000+08:00,13.500,10,603
1973-10-01T00:00:00.000+08:00,0.524,10,603
1973-11-01T00:00:00.000+08:00,0.088,10,603
1973-12-01T00:00:00.000+08:00,0.016,10,603
1974-01-01T00:00:00.000+08:00,0.007,10,603
1974-02-01T00:00:00.000+08:00,0.007,10,603
1974-03-01T00:00:00.000+08:00,0.008,10,603
1974-04-01T00:00:00.000+08:00,,-1,603
1974-05-01T00:00:00.000+08:00,,-1,603
1974-06-01T00:00:00.000+08:00,8.730,10,603
1974-07-01T00:00:00.000+08:00,25.738,10,603
1974-08-01T00:00:00.000+08:00,33.189,10,603
1974-09-01T00:00:00.000+08:00,1.037,10,603
1974-10-01T00:00:00.000+08:00,0.238,10,603
1974-11-01T00:00:00.000+08:00,0.102,10,603
1974-12-01T00:00:00.000+08:00,0.040,10,603
1975-01-01T00:00:00.000+08:00,0.017,10,603
1975-02-01T00:00:00.000+08:00,0.009,10,603
1975-03-01T00:00:00.000+08:00,0.022,10,603
1975-04-01T00:00:00.000+08:00,0.500,10,603
1975-05-01T00:00:00.000+08:00,0.152,10,603
1975-06-01T00:00:00.000+08:00,,-1,603
1975-07-01T00:00:00.000+08:00,10.674,10,603
1975-08-01T00:00:00.000+08:00,8.568,10,603
1975-09-01T00:00:00.000+08:00,1.380,10,603
1975-10-01T00:00:00.000+08:00,0.809,10,603
1975-11-01T00:00:00.000+08:00,0.105,10,603
1975-12-01T00:00:00.000+08:00,0.086,10,603
1976-01-01T00:00:00.000+08:00,0.018,10,603
1976-02-01T00:00:00.000+08:00,0.015,10,603
1976-03-01T00:00:00.000+08:00,0.463,10,603
1976-04-01T00:00:00.000+08:00,0.091,10,603
1976-05-01T00:00:00.000+08:00,0.333,10,603
1976-06-01T00:00:00.000+08:00,0.523,10,603
1976-07-01T00:00:00.000+08:00,0.235,10,603
1976-08-01T00:00:00.000+08:00,2.843,10,603
1976-09-01T00:00:00.000+08:00,0.753,10,603
1976-10-01T00:00:00.000+08:00,,-1,603
1976-11-01T00:00:00.000+08:00,,-1,603
1976-12-01T00:00:00.000+08:00,0.021,10,603
1977-01-01T00:00:00.000+08:00,0.011,10,603
1977-02-01T00:00:00.000+08:00,0.012,10,603
1977-03-01T00:00:00.000+08:00,0.012,10,603
1977-04-01T00:00:00.000+08:00,0.013,10,603
1977-05-01T00:00:00.000+08:00,0.190,10,603
1977-06-01T00:00:00.000+08:00,0.351,10,603
1977-07-01T00:00:00.000+08:00,0.212,10,603
1977-08-01T00:00:00.000+08:00,1.229,10,603
1977-09-01T00:00:00.000+08:00,0.117,10,603
1977-10-01T00:00:00.000+08:00,,-1,603
1977-11-01T00:00:00.000+08:00,,-1,603
1977-12-01T00:00:00.000+08:00,0.015,10,603
1978-01-01T00:00:00.000+08:00,0.013,10,603
1978-02-01T00:00:00.000+08:00,0.584,10,603
1978-03-01T00:00:00.000+08:00,0.034,10,603
1978-04-01T00:00:00.000+08:00,1.109,10,603
1978-05-01T00:00:00.000+08:00,,-1,603
1978-06-01T00:00:00.000+08:00,,-1,603
1978-07-01T00:00:00.000+08:00,,-1,603
1978-08-01T00:00:00.000+08:00,,-1,603
1978-09-01T00:00:00.000+08:00,,-1,603
1978-10-01T00:00:00.000+08:00,0.194,10,603
1978-11-01T00:00:00.000+08:00,0.032,10,603
1978-12-01T00:00:00.000+08:00,0.440,10,603
1979-01-01T00:00:00.000+08:00,0.023,10,603
1979-02-01T00:00:00.000+08:00,0.169,10,603
1979-03-01T00:00:00.000+08:00,0.079,10,603
1979-04-01T00:00:00.000+08:00,0.063,10,603
1979-05-01T00:00:00.000+08:00,0.105,10,603
1979-06-01T00:00:00.000+08:00,0.916,10,603
1979-07-01T00:00:00.000+08:00,0.598,10,603
1979-08-01T00:00:00.000+08:00,1.596,10,603
1979-09-01T00:00:00.000+08:00,0.194,10,603
1979-10-01T00:00:00.000+08:00,0.065,10,603
1979-11-01T00:00:00.000+08:00,0.089,10,603
1979-12-01T00:00:00.000+08:00,0.083,10,603
1980-01-01T00:00:00.000+08:00,0.010,10,603
1980-02-01T00:00:00.000+08:00,0.010,10,603
1980-03-01T00:00:00.000+08:00,0.010,10,603
1980-04-01T00:00:00.000+08:00,0.062,10,603
1980-05-01T00:00:00.000+08:00,0.068,10,603
